candidate_id,match_basis,match_value,member_manifestation_ids,member_sources,recommendation,rationale
DUP-C00090,DOI | PMID,10.1038/s41514-025-00238-9,OPENALEX:W4411080095 | PMID:40480990,OPENALEX | PUBMED,CANONICALIZATION_AUTOMATIC_VERIFIED,Deterministic shared strong identifier (DOI | PMID). Retained all 2 manifestations for append-only provenance.
DUP-C00091,DOI | PMID,10.1038/s41598-019-45816-6,OPENALEX:W2956118262 | PMID:31253823,OPENALEX | PUBMED,CANONICALIZATION_AUTOMATIC_VERIFIED,Deterministic shared strong identifier (DOI | PMID). Retained all 2 manifestations for append-only provenance.
DUP-C00092,DOI | PMID,10.1038/s41598-022-24181-x,OPENALEX:W4309865374 | PMID:36418408,OPENALEX | PUBMED,CANONICALIZATION_AUTOMATIC_VERIFIED,Deterministic shared strong identifier (DOI | PMID). Retained all 2 manifestations for append-only provenance.
DUP-C00093,DOI | PMID,10.1038/s41598-024-64210-5,OPENALEX:W4399492816 | PMID:38858466,OPENALEX | PUBMED,CANONICALIZATION_AUTOMATIC_VERIFIED,Deterministic shared strong identifier (DOI | PMID). Retained all 2 manifestations for append-only provenance.
DUP-C00094,DOI | PMID,10.1049/htl.2019.0030,OPENALEX:W2996312388 | PMID:32431851,OPENALEX | PUBMED,CANONICALIZATION_AUTOMATIC_VERIFIED,Deterministic shared strong identifier (DOI | PMID). Retained all 2 manifestations for append-only provenance.
DUP-C00095,DOI | PMID,10.1080/01431161.2021.2024912,OPENALEX:W4221070098 | PMID:36386862,OPENALEX | PUBMED,CANONICALIZATION_AUTOMATIC_VERIFIED,Deterministic shared strong identifier (DOI | PMID). Retained all 2 manifestations for append-only provenance.
DUP-C00096,DOI | PMID,10.1093/ofid/ofaf572,OPENALEX:W4414368625 | PMID:41064697,OPENALEX | PUBMED,CANONICALIZATION_AUTOMATIC_VERIFIED,Deterministic shared strong identifier (DOI | PMID). Retained all 2 manifestations for append-only provenance.
DUP-C00097,DOI | PMID,10.1097/corr.0000000000003812,OPENALEX:W7125791067 | PMID:41591267,OPENALEX | PUBMED,CANONICALIZATION_AUTOMATIC_VERIFIED,Deterministic shared strong identifier (DOI | PMID). Retained all 2 manifestations for append-only provenance.
DUP-C00098,DOI | PMID,10.1111/risa.14018,OPENALEX:W4295190198 | PMID:36088657,OPENALEX | PUBMED,CANONICALIZATION_AUTOMATIC_VERIFIED,Deterministic shared strong identifier (DOI | PMID). Retained all 2 manifestations for append-only provenance.
DUP-C00099,DOI | PMID,10.1177/10105395211029803,OPENALEX:W3186551429 | PMID:34282632,OPENALEX | PUBMED,CANONICALIZATION_AUTOMATIC_VERIFIED,Deterministic shared strong identifier (DOI | PMID). Retained all 2 manifestations for append-only provenance.
DUP-C00100,DOI | PMID,10.1177/20552076251396563,OPENALEX:W4416112095 | PMID:41234615,OPENALEX | PUBMED,CANONICALIZATION_AUTOMATIC_VERIFIED,Deterministic shared strong identifier (DOI | PMID). Retained all 2 manifestations for append-only provenance.
DUP-C00101,DOI | PMID,10.1177/26317745241306562,OPENALEX:W4405765146 | PMID:39734422,OPENALEX | PUBMED,CANONICALIZATION_AUTOMATIC_VERIFIED,Deterministic shared strong identifier (DOI | PMID). Retained all 2 manifestations for append-only provenance.
DUP-C00102,DOI | PMID,10.1186/s12882-026-05114-6,OPENALEX:W7165659512 | PMID:42337499,OPENALEX | PUBMED,CANONICALIZATION_AUTOMATIC_VERIFIED,Deterministic shared strong identifier (DOI | PMID). Retained all 2 manifestations for append-only provenance.
DUP-C00103,DOI | PMID,10.1186/s12885-025-14026-x,OPENALEX:W4409451065 | PMID:40234807,OPENALEX | PUBMED,CANONICALIZATION_AUTOMATIC_VERIFIED,Deterministic shared strong identifier (DOI | PMID). Retained all 2 manifestations for append-only provenance.
DUP-C00104,DOI | PMID,10.1186/s12942-025-00404-y,OPENALEX:W4412684559 | PMID:40721799,OPENALEX | PUBMED,CANONICALIZATION_AUTOMATIC_VERIFIED,Deterministic shared strong identifier (DOI | PMID). Retained all 2 manifestations for append-only provenance.
DUP-C00105,DOI | PMID,10.1371/journal.pdig.0000005,OPENALEX:W4206827170 | PMID:36812518,OPENALEX | PUBMED,CANONICALIZATION_AUTOMATIC_VERIFIED,Deterministic shared strong identifier (DOI | PMID). Retained all 2 manifestations for append-only provenance.
DUP-C00106,DOI | PMID,10.1371/journal.pdig.0001171,OPENALEX:W7128429800 | PMID:41662365,OPENALEX | PUBMED,CANONICALIZATION_AUTOMATIC_VERIFIED,Deterministic shared strong identifier (DOI | PMID). Retained all 2 manifestations for append-only provenance.
DUP-C00107,DOI | PMID,10.1371/journal.pone.0310522,OPENALEX:W4402676003 | PMID:39302916,OPENALEX | PUBMED,CANONICALIZATION_AUTOMATIC_VERIFIED,Deterministic shared strong identifier (DOI | PMID). Retained all 2 manifestations for append-only provenance.
DUP-C00108,DOI | PMID,10.1371/journal.pone.0315281,OPENALEX:W4405104656 | PMID:39642139,OPENALEX | PUBMED,CANONICALIZATION_AUTOMATIC_VERIFIED,Deterministic shared strong identifier (DOI | PMID). Retained all 2 manifestations for append-only provenance.
DUP-C00109,DOI | PMID,10.1371/journal.pone.0335022,OPENALEX:W4415592503 | PMID:41144436,OPENALEX | PUBMED,CANONICALIZATION_AUTOMATIC_VERIFIED,Deterministic shared strong identifier (DOI | PMID). Retained all 2 manifestations for append-only provenance.
DUP-C00110,DOI | PMID,10.2196/32392,OPENALEX:W4210885547 | PMID:35138264,OPENALEX | PUBMED,CANONICALIZATION_AUTOMATIC_VERIFIED,Deterministic shared strong identifier (DOI | PMID). Retained all 2 manifestations for append-only provenance.
DUP-C00111,DOI | PMID,10.2196/42895,OPENALEX:W4317347026 | PMID:36668902,OPENALEX | PUBMED,CANONICALIZATION_AUTOMATIC_VERIFIED,Deterministic shared strong identifier (DOI | PMID). Retained all 2 manifestations for append-only provenance.
DUP-C00112,DOI | PMID,10.2196/44720,OPENALEX:W4362712530 | PMID:37058576,OPENALEX | PUBMED,CANONICALIZATION_AUTOMATIC_VERIFIED,Deterministic shared strong identifier (DOI | PMID). Retained all 2 manifestations for append-only provenance.
DUP-C00113,DOI | PMID,10.2196/71591,OPENALEX:W4410252116 | PMID:40523280,OPENALEX | PUBMED,CANONICALIZATION_AUTOMATIC_VERIFIED,Deterministic shared strong identifier (DOI | PMID). Retained all 2 manifestations for append-only provenance.
DUP-C00114,DOI | PMID,10.2196/77817,OPENALEX:W4416928963 | PMID:41329943,OPENALEX | PUBMED,CANONICALIZATION_AUTOMATIC_VERIFIED,Deterministic shared strong identifier (DOI | PMID). Retained all 2 manifestations for append-only provenance.
DUP-C00115,DOI | PMID,10.2196/85169,OPENALEX:W7129043197 | PMID:41973653,OPENALEX | PUBMED,CANONICALIZATION_AUTOMATIC_VERIFIED,Deterministic shared strong identifier (DOI | PMID). Retained all 2 manifestations for append-only provenance.
DUP-C00116,DOI | PMID,10.2196/95867,OPENALEX:W7167283633 | PMID:42397674,OPENALEX | PUBMED,CANONICALIZATION_AUTOMATIC_VERIFIED,Deterministic shared strong identifier (DOI | PMID). Retained all 2 manifestations for append-only provenance.
DUP-C00117,DOI | PMID,10.2471/blt.22.289423,OPENALEX:W4382919153 | PMID:37397176,OPENALEX | PUBMED,CANONICALIZATION_AUTOMATIC_VERIFIED,Deterministic shared strong identifier (DOI | PMID). Retained all 2 manifestations for append-only provenance.
DUP-C00118,DOI | PMID,10.3233/shti210948,OPENALEX:W4205118783 | PMID:35062181,OPENALEX | PUBMED,CANONICALIZATION_AUTOMATIC_VERIFIED,Deterministic shared strong identifier (DOI | PMID). Retained all 2 manifestations for append-only provenance.
DUP-C00119,DOI | PMID,10.3233/shti251300,OPENALEX:W4413050530 | PMID:40776317,OPENALEX | PUBMED,CANONICALIZATION_AUTOMATIC_VERIFIED,Deterministic shared strong identifier (DOI | PMID). Retained all 2 manifestations for append-only provenance.
DUP-C00120,DOI | PMID,10.3233/shti260140,OPENALEX:W7162023752 | PMID:42174817,OPENALEX | PUBMED,CANONICALIZATION_AUTOMATIC_VERIFIED,Deterministic shared strong identifier (DOI | PMID). Retained all 2 manifestations for append-only provenance.
DUP-C00121,DOI | PMID,10.3348/kjr.2025.1208,OPENALEX:W7117967769 | PMID:41494674,OPENALEX | PUBMED,CANONICALIZATION_AUTOMATIC_VERIFIED,Deterministic shared strong identifier (DOI | PMID). Retained all 2 manifestations for append-only provenance.
DUP-C00122,DOI | PMID,10.3389/fdgth.2022.961604,OPENALEX:W4311631211 | PMID:36561922,OPENALEX | PUBMED,CANONICALIZATION_AUTOMATIC_VERIFIED,Deterministic shared strong identifier (DOI | PMID). Retained all 2 manifestations for append-only provenance.
DUP-C00123,DOI | PMID,10.3390/diagnostics13122087,OPENALEX:W4380988014 | PMID:37370981,OPENALEX | PUBMED,CANONICALIZATION_AUTOMATIC_VERIFIED,Deterministic shared strong identifier (DOI | PMID). Retained all 2 manifestations for append-only provenance.
DUP-C00124,DOI | PMID,10.3390/jcm8020168,OPENALEX:W2911578273 | PMID:30717268,OPENALEX | PUBMED,CANONICALIZATION_AUTOMATIC_VERIFIED,Deterministic shared strong identifier (DOI | PMID). Retained all 2 manifestations for append-only provenance.
DUP-C00125,DOI | PMID,10.3390/s22103866,OPENALEX:W4280531286 | PMID:35632275,OPENALEX | PUBMED,CANONICALIZATION_AUTOMATIC_VERIFIED,Deterministic shared strong identifier (DOI | PMID). Retained all 2 manifestations for append-only provenance.
DUP-C00126,DOI | PMID,10.3390/s22176554,OPENALEX:W4293715374 | PMID:36081013,OPENALEX | PUBMED,CANONICALIZATION_AUTOMATIC_VERIFIED,Deterministic shared strong identifier (DOI | PMID). Retained all 2 manifestations for append-only provenance.
DUP-C00127,DOI | PMID,10.4103/tjo.tjo-d-23-00101,OPENALEX:W4402526630 | PMID:39430352,OPENALEX | PUBMED,CANONICALIZATION_AUTOMATIC_VERIFIED,Deterministic shared strong identifier (DOI | PMID). Retained all 2 manifestations for append-only provenance.
DUP-C00128,DOI | PMID,10.5662/wjm.v15.i3.101837,OPENALEX:W4408211375 | PMID:40881211,OPENALEX | PUBMED,CANONICALIZATION_AUTOMATIC_VERIFIED,Deterministic shared strong identifier (DOI | PMID). Retained all 2 manifestations for append-only provenance.
DUP-C00129,DOI | PMID,10.5811/westjem.48825,OPENALEX:W7151807628 | PMID:42258871,OPENALEX | PUBMED,CANONICALIZATION_AUTOMATIC_VERIFIED,Deterministic shared strong identifier (DOI | PMID). Retained all 2 manifestations for append-only provenance.
DUP-C00130,DOI | PMID,10.7759/cureus.106995,OPENALEX:W7154305743 | PMID:42147526,OPENALEX | PUBMED,CANONICALIZATION_AUTOMATIC_VERIFIED,Deterministic shared strong identifier (DOI | PMID). Retained all 2 manifestations for append-only provenance.
DUP-C00131,DOI | PMID,10.7759/cureus.81819,OPENALEX:W4409209905 | PMID:40337565,OPENALEX | PUBMED,CANONICALIZATION_AUTOMATIC_VERIFIED,Deterministic shared strong identifier (DOI | PMID). Retained all 2 manifestations for append-only provenance.
